Ticker,Leverage,Total Return,Win Rate,Trades,Final Balance
ATHUSDT,10,-30.056929684825977,23.333333333333332,30,699.4307031517402
MITOUSDT,10,-30.10418956500561,29.629629629629626,27,698.9581043499439
OGNUSDT,10,-30.171563576702077,34.90566037735849,106,698.2843642329792
BATUSDT,10,-30.185697303391578,28.07017543859649,114,698.1430269660842
WAVESUSDT,10,-30.2486388696307,23.333333333333332,30,697.513611303693
VELODROMEUSDT,10,-30.45121557757493,29.411764705882355,51,695.4878442242507
B2USDT,10,-30.48807231910565,29.629629629629626,27,695.1192768089435
SAFEUSDT,10,-30.67531925715582,27.692307692307693,65,693.2468074284418
SKATEUSDT,10,-30.70023880338415,28.000000000000004,25,692.9976119661585
TONUSDT,10,-30.776164880262254,28.865979381443296,97,692.2383511973775
CTSIUSDT,10,-30.829940192889353,30.973451327433626,113,691.7005980711065
RENUSDT,10,-30.911101738286018,29.78723404255319,47,690.8889826171398
SANTOSUSDT,10,-31.406460228626077,28.35820895522388,67,685.9353977137392
PORT3USDT,10,-31.464474413212567,23.333333333333332,30,685.3552558678743
SWELLUSDT,10,-31.514793141341602,34.48275862068966,58,684.852068586584
XTZUSDT,10,-31.59116360022142,31.30434782608696,115,684.0883639977858
PHAUSDT,10,-31.92637456899498,25.53191489361702,47,680.7362543100502
CFXUSDT,10,-31.934362971768415,31.19266055045872,109,680.6563702823158
RAYSOLUSDT,10,-32.28910588497174,32.142857142857146,56,677.1089411502826
KASUSDT,10,-32.31143963422844,32.743362831858406,113,676.8856036577156
AEROUSDT,10,-32.36286500324837,31.818181818181817,66,676.3713499675163
IDEXUSDT,10,-32.68648188466574,26.47058823529412,34,673.1351811533426
FORMUSDT,10,-32.72014510780493,25.925925925925924,54,672.7985489219507
ACTUSDT,10,-33.82436465740833,32.758620689655174,58,661.7563534259167
BCHUSDT,10,-34.556635444139836,30.46875,128,654.4336455586016
SFPUSDT,10,-34.623173166390444,28.71287128712871,101,653.7682683360955
PARTIUSDT,10,-34.67565783393094,25.0,40,653.2434216606906
USTCUSDT,10,-34.76916122578932,32.743362831858406,113,652.3083877421068
CARVUSDT,10,-34.979187968262195,17.391304347826086,23,650.2081203173781
PUFFERUSDT,10,-35.085730644256316,20.689655172413794,29,649.1426935574368
KERNELUSDT,10,-35.165356527511776,27.77777777777778,36,648.3464347248822
MOODENGUSDT,10,-35.171729207169754,36.507936507936506,63,648.2827079283024
DFUSDT,10,-35.381026100646466,35.41666666666667,48,646.1897389935353
BULLAUSDT,10,-35.46231027648061,34.61538461538461,26,645.376897235194
EIGENUSDT,10,-35.47226308460463,33.78378378378378,74,645.2773691539537
NMRUSDT,10,-35.55270213011516,31.666666666666664,120,644.4729786988485
AMBUSDT,10,-35.559429671032355,29.268292682926827,82,644.4057032896765
ETCUSDT,10,-35.594491013709174,31.57894736842105,133,644.0550898629083
LRCUSDT,10,-35.648861300279066,33.05084745762712,118,643.5113869972093
TSTUSDT,10,-36.47143727746173,31.57894736842105,38,635.2856272253827
ONDOUSDT,10,-36.642053345740976,34.31372549019608,102,633.5794665425902
DASHUSDT,10,-37.06623108988581,30.303030303030305,99,629.3376891011419
PROMPTUSDT,10,-37.72462190251554,27.500000000000004,40,622.7537809748446
ZETAUSDT,10,-37.935391395397595,32.67326732673268,101,620.646086046024
OBOLUSDT,10,-37.9428986796251,21.875,32,620.571013203749
AKTUSDT,10,-38.046108817608875,29.850746268656714,67,619.5389118239112
BSVUSDT,10,-38.468750477799844,30.909090909090907,110,615.3124952220015
COSUSDT,10,-38.482221039428296,27.86885245901639,61,615.1777896057171
DYMUSDT,10,-39.47541322415981,35.08771929824561,114,605.2458677584019
YGGUSDT,10,-39.62551945866487,32.038834951456316,103,603.7448054133513
LSKUSDT,10,-39.77706206141905,35.08771929824561,114,602.2293793858095
SAGAUSDT,10,-39.90926350063388,34.61538461538461,104,600.9073649936612
IDUSDT,10,-40.3522436429714,31.40495867768595,121,596.477563570286
YFIUSDT,10,-40.65954395502398,29.09090909090909,110,593.4045604497602
VANAUSDT,10,-40.69691433726265,26.785714285714285,56,593.0308566273735
CATIUSDT,10,-40.80887605901395,28.78787878787879,66,591.9112394098605
NOTUSDT,10,-40.82929250058855,32.18390804597701,87,591.7070749941145
WUSDT,10,-41.31975366953486,31.868131868131865,91,586.8024633046514
CHESSUSDT,10,-41.99120402646099,29.03225806451613,62,580.0879597353901
LPTUSDT,10,-42.1563298789138,32.71028037383177,107,578.436701210862
AWEUSDT,10,-43.288740556993524,17.142857142857142,35,567.1125944300647
APTUSDT,10,-43.617477941853686,31.25,112,563.8252205814631
DARUSDT,10,-44.00616455840138,31.666666666666664,60,559.9383544159862
INJUSDT,10,-44.09803211039971,30.0,120,559.0196788960029
GLMUSDT,10,-44.56353821438758,31.958762886597935,97,554.3646178561243
HIPPOUSDT,10,-44.731827135348816,35.41666666666667,48,552.6817286465118
MERLUSDT,10,-44.97995100794424,25.0,36,550.2004899205576
1000BONKUSDT,10,-45.74073280510239,34.12698412698413,126,542.5926719489761
SOLVUSDT,10,-45.75775640552979,22.916666666666664,48,542.4224359447021
TANSSIUSDT,10,-45.861888822700465,25.925925925925924,27,541.3811117729954
GUSDT,10,-46.40077881973053,28.57142857142857,77,535.9922118026947
GMTUSDT,10,-46.849470797352545,30.909090909090907,110,531.5052920264745
TNSRUSDT,10,-47.397831396526904,32.038834951456316,103,526.0216860347309
FISUSDT,10,-47.448177660109245,27.027027027027028,37,525.5182233989076
SAHARAUSDT,10,-47.96245131233955,12.0,25,520.3754868766044
1000WHYUSDT,10,-48.07380184434686,30.508474576271187,59,519.2619815565314
IOSTUSDT,10,-48.87844650080778,27.27272727272727,110,511.2155349919222
MILKUSDT,10,-49.49437072141729,16.129032258064516,31,505.0562927858271
DEXEUSDT,10,-49.568487087475106,19.230769230769234,52,504.315129125249
PIXELUSDT,10,-49.73397446215741,33.68421052631579,95,502.66025537842586
FUSDT,10,-50.13613671233155,14.814814814814813,27,498.63863287668454
BIGTIMEUSDT,10,-50.17453070551856,31.818181818181817,110,498.25469294481434
LISTAUSDT,10,-50.50672752696722,28.57142857142857,84,494.93272473032783
ATAUSDT,10,-50.82744929677096,30.82706766917293,133,491.72550703229047
GASUSDT,10,-50.95666173273153,29.464285714285715,112,490.4333826726847
1000XECUSDT,10,-51.07522006973782,30.08849557522124,113,489.24779930262184
AIOUSDT,10,-51.1454955668212,20.833333333333336,24,488.54504433178806
AEVOUSDT,10,-51.15393537388445,31.48148148148148,108,488.46064626115543
SCRUSDT,10,-52.47194226940487,27.27272727272727,55,475.2805773059512
SSVUSDT,10,-52.55179092538038,30.708661417322837,127,474.48209074619615
DAMUSDT,10,-53.11794874766497,23.809523809523807,21,468.8205125233503
OMUSDT,10,-53.16793522377947,32.25806451612903,93,468.3206477622052
TAOUSDT,10,-53.26284225936845,31.683168316831683,101,467.3715774063155
STRKUSDT,10,-54.21127714636638,30.303030303030305,99,457.88722853633624
OMGUSDT,10,-54.53479233422479,27.027027027027028,74,454.6520766577521
MAVUSDT,10,-54.64501780047928,31.40495867768595,121,453.54982199520725
LTCUSDT,10,-54.6538368005966,23.076923076923077,117,453.46163199403395
SWARMSUSDT,10,-54.872831706169336,27.27272727272727,55,451.2716829383067
LEVERUSDT,10,-55.25054464715515,29.47368421052631,95,447.4945535284485
DRIFTUSDT,10,-55.43066370219301,28.57142857142857,70,445.69336297806996
BONDUSDT,10,-55.90457420475556,23.214285714285715,56,440.9542579524443
POPCATUSDT,10,-56.024140268073275,32.35294117647059,68,439.7585973192672
MYROUSDT,10,-56.20585075250055,30.303030303030305,99,437.94149247499445
ENSUSDT,10,-56.38885224999972,29.411764705882355,119,436.11147750000276
MOVRUSDT,10,-56.40625141055695,29.292929292929294,99,435.9374858944305
USELESSUSDT,10,-56.51971535426623,26.08695652173913,23,434.80284645733764
BNTUSDT,10,-57.2288549678575,23.52941176470588,102,427.71145032142505
BIDUSDT,10,-58.05838373910215,25.581395348837212,43,419.4161626089785
TLMUSDT,10,-59.09175634763286,29.133858267716533,127,409.0824365236714
HMSTRUSDT,10,-59.456037588873215,25.396825396825395,63,405.4396241112679
QUICKUSDT,10,-59.48767402702333,23.809523809523807,63,405.1232597297667
WIFUSDT,10,-60.50063815729738,32.8125,128,394.9936184270262
QTUMUSDT,10,-60.68332339648628,26.61290322580645,124,393.1667660351372
TAUSDT,10,-60.68996019026199,26.923076923076923,26,393.10039809738004
VVVUSDT,10,-60.752619574800924,24.242424242424242,33,392.47380425199077
CHRUSDT,10,-60.93746076634612,28.18181818181818,110,390.62539233653877
ACEUSDT,10,-61.06374083802702,32.11009174311927,109,389.3625916197297
BLESSUSDT,10,-61.4328097164115,25.0,20,385.671902835885
UXLINKUSDT,10,-63.05503148386277,30.158730158730158,63,369.4496851613724
PENDLEUSDT,10,-63.11199802386336,26.21359223300971,103,368.88001976136644
ARPAUSDT,10,-65.01331238902472,28.346456692913385,127,349.86687610975275
ZEREBROUSDT,10,-67.70776229065909,23.25581395348837,43,322.92237709340907
MYXUSDT,10,-68.35237855880428,17.391304347826086,23,316.47621441195724
HOOKUSDT,10,-69.56268348725739,29.133858267716533,127,304.37316512742615
1000FLOKIUSDT,10,-70.74659582472648,26.190476190476193,126,292.5340417527352
FARTCOINUSDT,10,-87.62240144715102,23.943661971830984,71,123.77598552848977
1000RATSUSDT,10,-90.518614211691,23.25581395348837,129,94.81385788309005
ZRXUSDT,20,846.5128578410341,45.19230769230769,104,9465.128578410342
LINAUSDT,20,712.2290350680814,48.484848484848484,66,8122.290350680814
DOGEUSDT,20,660.2832457395374,45.370370370370374,108,7602.832457395373
NFPUSDT,20,600.0905505127696,44.761904761904766,105,7000.905505127696
1000CATUSDT,20,592.2210435534301,48.148148148148145,54,6922.210435534302
WLDUSDT,20,557.1283764781305,43.22033898305085,118,6571.283764781305
ZECUSDT,20,489.11149098386755,41.34615384615385,104,5891.114909838676
ARBUSDT,20,481.6210374315226,44.06779661016949,118,5816.210374315226
OPUSDT,20,389.57574417677114,40.54054054054054,111,4895.7574417677115
FLOWUSDT,20,369.56316335299044,43.689320388349515,103,4695.631633529904
HIFIUSDT,20,343.21414390865885,35.714285714285715,98,4432.141439086588
SUSDT,20,329.2967385658388,52.94117647058824,51,4292.967385658388
DEFIUSDT,20,307.3425461056074,41.83673469387755,98,4073.4254610560747
LUNA2USDT,20,298.68331941498496,42.45283018867924,106,3986.83319414985
MANTAUSDT,20,298.4333140392559,41.37931034482759,116,3984.333140392559
KSMUSDT,20,296.7225976003896,44.73684210526316,114,3967.225976003896
VINEUSDT,20,295.6655363112612,44.0,50,3956.655363112612
STXUSDT,20,295.2779997732871,44.95412844036697,109,3952.779997732871
PERPUSDT,20,294.02366833890125,41.02564102564102,117,3940.2366833890123
1000SHIBUSDT,20,288.03126672884486,40.49586776859504,121,3880.3126672884487
PHBUSDT,20,280.41358020690865,43.47826086956522,115,3804.1358020690864
DOTUSDT,20,270.977236064209,39.568345323741006,139,3709.77236064209
POLUSDT,20,269.7200174922621,45.588235294117645,68,3697.2001749226215
USUALUSDT,20,263.23372786477626,47.16981132075472,53,3632.3372786477626
BERAUSDT,20,259.22741799514995,48.78048780487805,41,3592.2741799514997
TOKENUSDT,20,253.96644755852859,38.01652892561984,121,3539.664475585286
AIXBTUSDT,20,249.34124342446333,48.148148148148145,54,3493.4124342446335
1000PEPEUSDT,20,248.73890133350773,41.221374045801525,131,3487.3890133350774
STGUSDT,20,243.37750835175115,43.925233644859816,107,3433.7750835175116
BALUSDT,20,225.20059429764405,47.94520547945205,73,3252.0059429764406
SUPERUSDT,20,222.9249626347836,41.34615384615385,104,3229.249626347836
MTLUSDT,20,221.24871738670146,40.33613445378151,119,3212.4871738670145
UNIUSDT,20,220.4667511559887,36.93693693693694,111,3204.667511559887
JELLYJELLYUSDT,20,220.13370583782867,38.095238095238095,42,3201.3370583782867
PUMPBTCUSDT,20,219.52211568582265,50.0,20,3195.2211568582265
RENDERUSDT,20,216.56679576231127,45.83333333333333,72,3165.6679576231127
BSWUSDT,20,215.52827115006266,34.84848484848485,66,3155.2827115006266
IOUSDT,20,211.06066910767504,38.70967741935484,93,3110.6066910767504
THETAUSDT,20,208.361736662738,39.682539682539684,126,3083.61736662738
HYPERUSDT,20,197.39298528029823,43.24324324324324,37,2973.929852802982
ENJUSDT,20,187.50859150151126,42.241379310344826,116,2875.0859150151127
PEOPLEUSDT,20,185.5805487416399,38.095238095238095,126,2855.805487416399
BANANAS31USDT,20,178.7086746434922,46.15384615384615,26,2787.086746434922
ORDIUSDT,20,176.572461874976,41.66666666666667,108,2765.72461874976
CHZUSDT,20,175.12158293218866,39.682539682539684,126,2751.2158293218868
