Ticker,Final Balance,Return (%),Win Rate (%),Profit Factor,MDD (%),Total Trades,Score
LRCUSDT,22.49,-97.75,33.68,1.01,-98.97,1924,0.34027008102430734
OCEANUSDT,19.48,-98.05,33.64,0.98,-99.49,1501,0.3280644840282615
VETUSDT,18.2,-98.18,33.92,1.01,-99.17,2052,0.342010582010582
UMAUSDT,17.93,-98.21,29.79,0.89,-98.58,856,0.2662492468367142
MKRUSDT,17.95,-98.21,33.46,0.98,-98.75,1641,0.3287298245614035
POPCATUSDT,17.45,-98.25,32.35,0.87,-98.25,680,0.28357178841309827
REEFUSDT,17.53,-98.25,33.42,0.98,-98.91,1505,0.3278110299269343
NEARUSDT,16.15,-98.38,34.63,1.01,-99.09,1978,0.34944849635328207
APEUSDT,16.05,-98.39,31.98,0.96,-99.12,1307,0.306640031961646
ZEREBROUSDT,15.77,-98.42,33.1,0.85,-99.44,562,0.2801174830744723
ZECUSDT,15.78,-98.42,33.91,1.01,-99.69,2032,0.3401440063561426
ATOMUSDT,15.79,-98.42,33.66,1.0,-99.56,1958,0.3347255369928401
IOTXUSDT,15.45,-98.45,32.76,0.97,-99.11,1508,0.3174228348816302
NEOUSDT,15.17,-98.48,33.24,0.99,-99.27,1886,0.3281898873042785
ALGOUSDT,15.13,-98.49,34.34,1.0,-99.4,1922,0.3420318725099602
CELRUSDT,15.1,-98.49,34.09,1.0,-98.85,1801,0.34141211817726597
LISTAUSDT,15.01,-98.5,32.27,0.86,-98.99,657,0.2775497549754976
1000CHEEMSUSDT,14.73,-98.53,28.54,0.71,-98.66,410,0.2033253060405378
COMPUSDT,12.75,-98.72,33.35,0.99,-98.9,1907,0.3304954954954955
API3USDT,12.49,-98.75,31.94,0.96,-98.85,1365,0.30708462694041067
HBARUSDT,12.19,-98.78,33.06,0.97,-99.06,1606,0.32048970617629424
BELUSDT,11.16,-98.88,34.39,1.01,-99.43,2024,0.34585183710046796
MASKUSDT,10.38,-98.96,33.75,0.98,-99.15,1520,0.3302546180728907
HIPPOUSDT,9.93,-99.01,32.72,0.86,-99.31,541,0.2805223806200777
KSMUSDT,9.09,-99.09,34.57,0.98,-99.49,1831,0.337134043188377
NEIROETHUSDT,8.9,-99.11,34.27,0.85,-99.43,604,0.29004779448372
CHRUSDT,8.79,-99.12,33.32,0.99,-99.25,1867,0.3290453865336659
STORJUSDT,8.18,-99.18,33.85,0.99,-99.63,1982,0.33301699294445
CRVUSDT,7.98,-99.2,34.29,1.0,-99.71,2225,0.34048257372654156
BLZUSDT,8.02,-99.2,34.39,0.99,-99.97,1806,0.33719025453104884
